month,stop_id,stop_name,boardings,alightings
2023-06,51,Park at W. Vine (SE Corner),449,481
2023-06,52,Park at 519 Walnut,81,215
2023-06,53,Park at Lovell (SE Corner),27,137
2023-06,54,Park at South (NE Corner),69,433
2023-06,96,Portage at Walnut (SE Corner),163,187
2023-06,137,Kalamazoo & Park Street,87,70
2023-06,182,Michigan &,23,198
2023-06,184,Rose & Water,52,477
2023-06,210,Burdick & North,8,18
2023-06,260,North & N. Park,24,139
2023-06,261,North & Westnedge,44,182
2023-06,262,North & Simpson,27,146
2023-06,263,North & Woodward,21,42
2023-06,264,North St & Hawley street,32,291
2023-06,295,North & Stewart/Hawley,207,25
2023-06,296,North & Woodward,41,24
2023-06,297,North & Simpson,118,12
2023-06,298,North & Westnedge,53,84
2023-06,299,Ransom & Church,87,206
2023-06,300,Ransom & N. Rose,10,17
2023-06,515,Rose & Vine,8,4
2023-06,516,Rose & Walnut,3,1
2023-06,517,Rose & South,57,111
2023-06,518,Walnut & Burdick,232,461
2023-06,562,Walnut & Burdick,467,173
2023-06,563,Kalamazoo & Greenwich,51,13
2023-06,564,Kalamazoo & Elm,124,103
2023-06,565,Kalamazoo & Stuart,140,124
2023-06,605,W. Main & Catherine,50,79
2023-06,606,W. Main & RR Tracks,134,214
2023-06,607,North & Park,4,13
2023-06,628,Lovell & Westnedge,144,132
2023-06,629,Lovell & Oak,69,161
2023-06,630,Lovell & Davis,64,111
2023-06,640,South & Oak,230,84
2023-06,641,South & Westnedge,11,93
2023-06,776,Portage at South (NW Corner),93,25
2023-06,785,Oakland & Academy,7,17
2023-06,788,Ransom & N. Park,842,897
2023-06,799,Rose & Walnut,1,2
2023-06,1004,Kalamazoo Transit Center,47734,43538
2023-06,1011,Kalamazoo Transit Center,2241,2257
2023-06,1062,E. Michigan & S. Pitcher,109,87
2023-06,1067,W. Michigan & Academy,28,91
2023-06,1079,Rose St & Butler,2,95
2023-06,1082,S Rose St & Vine,13,4
2023-06,1084,Lovell & S. Burdick,3,23
2023-07,1,Rose at Water (NW Corner),3031,2705
2023-07,2,Rose at Michigan (SW side),228,84
2023-07,3,Rose at South (SW Corner),143,144
2023-07,4,Lovell at St. Johns (NE Corner),23,11
2023-07,5,Westnedge at Lovell (SW side),178,110
2023-07,6,Westnedge at Walnut (NW corner),132,72
2023-07,7,Westnedge at Vine (NW Corner),479,436
2023-07,51,Park at W. Vine (SE Corner),347,401
2023-07,52,Park at 519 Walnut,116,161
2023-07,53,Park at Lovell (SE Corner),37,122
2023-07,54,Park at South (NE Corner),53,394
2023-07,96,Portage at Walnut (SE Corner),126,186
2023-07,137,Kalamazoo & Park Street,93,77
2023-07,182,Michigan &,101,247
2023-07,184,Rose & Water,61,417
2023-07,210,Burdick & North,4,21
2023-07,260,North & N. Park,37,133
2023-07,261,North & Westnedge,75,161
2023-07,262,North & Simpson,30,188
2023-07,263,North & Woodward,12,57
2023-07,264,North St & Hawley street,35,280
2023-07,295,North & Stewart/Hawley,197,17
2023-07,296,North & Woodward,20,11
2023-07,297,North & Simpson,84,19
2023-07,298,North & Westnedge,71,75
2023-07,299,Ransom & Church,61,193
2023-07,300,Ransom & N. Rose,2,8
2023-07,515,Rose & Vine,6,2
2023-07,516,Rose & Walnut,10,1
2023-07,517,Rose & South,65,153
2023-07,518,Walnut & Burdick,233,394
2023-07,562,Walnut & Burdick,399,151
2023-07,563,Kalamazoo & Greenwich,30,16
2023-07,564,Kalamazoo & Elm,69,47
2023-07,565,Kalamazoo & Stuart,55,50
2023-07,605,W. Main & Catherine,52,64
2023-07,606,W. Main & RR Tracks,112,182
2023-07,607,North & Park,15,17
2023-07,628,Lovell & Westnedge,195,125
2023-07,629,Lovell & Oak,50,195
2023-07,630,Lovell & Davis,43,118
2023-07,640,South & Oak,212,79
2023-07,641,South & Westnedge,23,112
2023-07,776,Portage at South (NW Corner),72,21
2023-07,785,Oakland & Academy,20,23
2023-07,788,Ransom & N. Park,835,993
2023-07,799,Rose & Walnut,1,1
2023-07,1004,Kalamazoo Transit Center,44212,39752
2023-07,1011,Kalamazoo Transit Center,1899,2136
2023-07,1062,E. Michigan & S. Pitcher,57,61
2023-07,1067,W. Michigan & Academy,136,207
2023-07,1079,Rose St & Butler,1,58
2023-07,1082,S Rose St & Vine,8,5
2023-07,1084,Lovell & S. Burdick,8,31
2023-08,1,Rose at Water (NW Corner),2805,2441
2023-08,2,Rose at Michigan (SW side),260,86
2023-08,3,Rose at South (SW Corner),155,143
2023-08,4,Lovell at St. Johns (NE Corner),28,7
2023-08,5,Westnedge at Lovell (SW side),194,76
2023-08,6,Westnedge at Walnut (NW corner),140,100
2023-08,7,Westnedge at Vine (NW Corner),491,409
2023-08,51,Park at W. Vine (SE Corner),396,403
2023-08,52,Park at 519 Walnut,126,186
2023-08,53,Park at Lovell (SE Corner),21,151
2023-08,54,Park at South (NE Corner),65,507
2023-08,96,Portage at Walnut (SE Corner),146,204
2023-08,137,Kalamazoo & Park Street,75,84
2023-08,182,Michigan &,27,122
2023-08,184,Rose & Water,81,543
2023-08,210,Burdick & North,7,14
2023-08,260,North & N. Park,36,209
2023-08,261,North & Westnedge,68,155
2023-08,262,North & Simpson,32,156
2023-08,263,North & Woodward,26,58
2023-08,264,North St & Hawley street,23,255
2023-08,295,North & Stewart/Hawley,222,27
2023-08,296,North & Woodward,39,21
2023-08,297,North & Simpson,92,17
2023-08,298,North & Westnedge,67,96
2023-08,299,Ransom & Church,86,215
2023-08,300,Ransom & N. Rose,6,21
2023-08,515,Rose & Vine,10,2
2023-08,516,Rose & Walnut,0,1
2023-08,517,Rose & South,75,178
2023-08,518,Walnut & Burdick,195,435
2023-08,562,Walnut & Burdick,397,125
2023-08,563,Kalamazoo & Greenwich,67,12
2023-08,564,Kalamazoo & Elm,149,110
2023-08,565,Kalamazoo & Stuart,83,132
2023-08,605,W. Main & Catherine,41,48
2023-08,606,W. Main & RR Tracks,102,219
2023-08,607,North & Park,6,22
2023-08,628,Lovell & Westnedge,152,110
2023-08,629,Lovell & Oak,99,179
2023-08,630,Lovell & Davis,77,78
2023-08,640,South & Oak,148,103
2023-08,641,South & Westnedge,5,68
2023-08,776,Portage at South (NW Corner),84,18
2023-08,785,Oakland & Academy,23,48
2023-08,788,Ransom & N. Park,824,817
2023-08,799,Rose & Walnut,1,0
2023-08,1004,Kalamazoo Transit Center,49253,43977
2023-08,1011,Kalamazoo Transit Center,2254,2383
2023-08,1062,E. Michigan & S. Pitcher,6,14
2023-08,1067,W. Michigan & Academy,158,154
2023-08,1079,Rose St & Butler,1,57
2023-08,1082,S Rose St & Vine,9,10
2023-08,1084,Lovell & S. Burdick,2,8
2023-09,1,Rose at Water (NW Corner),3125,2760
2023-09,2,Rose at Michigan (SW side),218,107
2023-09,3,Rose at South (SW Corner),139,145
2023-09,4,Lovell at St. Johns (NE Corner),12,12
2023-09,5,Westnedge at Lovell (SW side),183,71
2023-09,6,Westnedge at Walnut (NW corner),112,96
2023-09,7,Westnedge at Vine (NW Corner),586,461
2023-09,51,Park at W. Vine (SE Corner),348,528
2023-09,52,Park at 519 Walnut,114,187
2023-09,53,Park at Lovell (SE Corner),22,121
2023-09,54,Park at South (NE Corner),48,403
2023-09,96,Portage at Walnut (SE Corner),95,160
2023-09,137,Kalamazoo & Park Street,80,65
2023-09,182,Michigan &,23,206
2023-09,184,Rose & Water,59,524
2023-09,210,Burdick & North,3,9
2023-09,260,North & N. Park,26,170
2023-09,261,North & Westnedge,76,134
2023-09,262,North & Simpson,13,109
2023-09,263,North & Woodward,12,51
2023-09,264,North St & Hawley street,30,239
2023-09,295,North & Stewart/Hawley,254,50
2023-09,296,North & Woodward,41,12
2023-09,297,North & Simpson,48,12
2023-09,298,North & Westnedge,53,79
2023-09,299,Ransom & Church,55,189
2023-09,300,Ransom & N. Rose,1,7
2023-09,515,Rose & Vine,15,9
2023-09,516,Rose & Walnut,3,1
2023-09,517,Rose & South,88,165
2023-09,518,Walnut & Burdick,222,466
2023-09,562,Walnut & Burdick,404,150
2023-09,563,Kalamazoo & Greenwich,64,10
2023-09,564,Kalamazoo & Elm,107,95
2023-09,565,Kalamazoo & Stuart,99,103
2023-09,605,W. Main & Catherine,36,68
2023-09,606,W. Main & RR Tracks,84,218
2023-09,607,North & Park,15,43
2023-09,628,Lovell & Westnedge,268,182
2023-09,629,Lovell & Oak,62,158
2023-09,630,Lovell & Davis,64,96
2023-09,640,South & Oak,200,90
2023-09,641,South & Westnedge,6,53
2023-09,776,Portage at South (NW Corner),56,23
